Stat-Xplore,,,,,,,,
,,,,,,,,
Relative Low Income (I II III IV V VI),,,,,,,,
National - Regional - LA - OAs (GB) by Year,,,,,,,,
Counting: Relative Low Income,,,,,,,,
,,,,,,,,
Filters:,,,,,,,,
Default Summation,Relative Low Income,,,,,,,
,,,,,,,,
Year,2020/21,2020/21 - Annotations,2021/22,2021/22 - Annotations,2022/23,2022/23 - Annotations,2023/24,2023/24 - Annotations
National - Regional - LA - OAs (GB),,,,,,,,
Barking and Dagenham 002A,127,,119,,98,,94,
Barking and Dagenham 002B,98,,87,,132,,124,
Barking and Dagenham 002C,69,,84,,83,,74,
Barking and Dagenham 002D,131,,113,,111,,160,
Barking and Dagenham 002E,104,,85,,100,,135,
Barking and Dagenham 002F,76,,87,,122,,123,
Barking and Dagenham 003A,106,,96,,111,,96,
Barking and Dagenham 003B,60,,59,,63,,54,
Barking and Dagenham 003C,67,,72,,98,,101,
Barking and Dagenham 003D,64,,74,,71,,85,
Barking and Dagenham 004A,81,,111,,125,,138,
Barking and Dagenham 004B,115,,142,,124,,124,
Barking and Dagenham 004C,132,,116,,114,,123,
Barking and Dagenham 004D,203,,207,,235,,222,
Barking and Dagenham 004E,193,,199,,176,,218,
Barking and Dagenham 006A,102,,124,,128,,131,
Barking and Dagenham 006B,182,,174,,166,,204,
Barking and Dagenham 006C,276,,279,,358,,339,
Barking and Dagenham 006D,94,,122,,156,,183,
Barking and Dagenham 006E,153,,135,,159,,179,
Barking and Dagenham 007A,112,,129,,137,,143,
Barking and Dagenham 007B,130,,116,,143,,169,
Barking and Dagenham 007C,128,,113,,130,,137,
Barking and Dagenham 007D,134,,131,,152,,163,
Barking and Dagenham 007E,122,,126,,151,,183,
Barking and Dagenham 007F,132,,155,,194,,213,
Barking and Dagenham 007G,115,,123,,176,,184,
Barking and Dagenham 008A,150,,121,,163,,174,
Barking and Dagenham 008B,125,,115,,123,,120,
Barking and Dagenham 008C,351,,345,,395,,397,
Barking and Dagenham 008D,113,,85,,96,,121,
Barking and Dagenham 008E,143,,126,,146,,167,
Barking and Dagenham 008F,151,,126,,138,,157,
Barking and Dagenham 009A,181,,183,,164,,189,
Barking and Dagenham 009B,135,,133,,109,,114,
Barking and Dagenham 009C,128,,126,,155,,182,
Barking and Dagenham 009D,120,,146,,123,,147,
Barking and Dagenham 009E,113,,86,,122,,119,
Barking and Dagenham 010A,117,,122,,130,,152,
Barking and Dagenham 010B,82,,72,,88,,101,
Barking and Dagenham 010C,95,,91,,109,,120,
Barking and Dagenham 010D,84,,95,,144,,149,
Barking and Dagenham 011A,186,,164,,176,,170,
Barking and Dagenham 011B,185,,183,,186,,203,
Barking and Dagenham 011C,124,,124,,138,,130,
Barking and Dagenham 011D,134,,125,,127,,156,
Barking and Dagenham 011E,136,,149,,170,,175,
Barking and Dagenham 012A,95,,110,,121,,117,
Barking and Dagenham 012B,136,,153,,163,,158,
Barking and Dagenham 012C,132,,117,,134,,128,
Barking and Dagenham 012D,116,,115,,120,,140,
Barking and Dagenham 012E,152,,149,,172,,205,
Barking and Dagenham 013A,111,,101,,126,,129,
Barking and Dagenham 013B,99,,91,,122,,112,
Barking and Dagenham 013C,118,,113,,134,,146,
Barking and Dagenham 013D,113,,112,,111,,138,
Barking and Dagenham 013E,114,,106,,106,,132,
Barking and Dagenham 013F,95,,78,,89,,107,
Barking and Dagenham 014A,97,,117,,121,,129,
Barking and Dagenham 014B,170,,167,,190,,202,
Barking and Dagenham 014C,182,,185,,208,,195,
Barking and Dagenham 014D,190,,210,,250,,250,
Barking and Dagenham 015A,181,,197,,222,,246,
Barking and Dagenham 015B,167,,167,,185,,211,
Barking and Dagenham 015C,206,,264,,291,,316,
Barking and Dagenham 015D,202,,200,,238,,239,
Barking and Dagenham 016A,105,,98,,115,,149,
Barking and Dagenham 016B,123,,132,,118,,145,
Barking and Dagenham 016C,166,,122,,146,,161,
Barking and Dagenham 016D,133,,153,,141,,173,
Barking and Dagenham 016E,117,,113,,96,,128,
Barking and Dagenham 017A,153,,150,,152,,205,
Barking and Dagenham 017B,114,,149,,146,,172,
Barking and Dagenham 017C,156,,129,,162,,181,
Barking and Dagenham 017D,118,,117,,154,,148,
Barking and Dagenham 017E,161,,137,,168,,193,
Barking and Dagenham 018A,113,,108,,116,,113,
Barking and Dagenham 018B,109,,119,,110,,130,
Barking and Dagenham 018C,144,,129,,150,,178,
Barking and Dagenham 018D,100,,120,,121,,126,
Barking and Dagenham 018E,143,,168,,181,,210,
Barking and Dagenham 019A,144,,138,,156,,193,
Barking and Dagenham 019B,128,,119,,111,,103,
Barking and Dagenham 019C,114,,125,,149,,167,
Barking and Dagenham 019D,145,,139,,152,,212,
Barking and Dagenham 019E,435,,429,,464,,565,
Barking and Dagenham 020A,105,,123,,132,,108,
Barking and Dagenham 020B,112,,124,,110,,127,
Barking and Dagenham 020C,141,,140,,187,,187,
Barking and Dagenham 020D,129,,167,,177,,239,
Barking and Dagenham 020E,87,,109,,155,,173,
Barking and Dagenham 021B,96,,101,,129,,121,
Barking and Dagenham 021C,263,,243,,288,,293,
Barking and Dagenham 021D,68,,59,,69,,85,
Barking and Dagenham 021E,184,,217,,247,,221,
Barking and Dagenham 021F,132,,140,,173,,192,
Barking and Dagenham 022A,193,,203,,184,,218,
Barking and Dagenham 022B,197,,152,,166,,174,
Barking and Dagenham 022C,125,,154,,188,,181,
Barking and Dagenham 022D,202,,164,,208,,216,
Barking and Dagenham 023A,144,,133,,114,,145,
Barking and Dagenham 023B,144,,129,,159,,172,
Barking and Dagenham 023C,122,,136,,152,,148,
Barking and Dagenham 023D,185,,168,,170,,198,
Barking and Dagenham 023E,155,,154,,184,,199,
Barking and Dagenham 023F,108,,114,,141,,177,
Barnet 001A,14,,15,,23,,21,
Barnet 001B,15,,11,,9,,15,
Barnet 001C,53,,71,,60,,51,
Barnet 001D,14,,14,,22,,16,
Barnet 001E,37,,27,,13,,31,
Barnet 001F,13,,16,,16,,22,
Barnet 002A,51,,47,,51,,48,
Barnet 002B,13,,14,,15,,10,
Barnet 002C,34,,33,,37,,48,
Barnet 002D,41,,33,,40,,44,
Barnet 002E,19,,21,,26,,27,
Barnet 003A,25,,32,,48,,43,
Barnet 003B,27,,27,,17,,23,
Barnet 003C,27,,27,,22,,36,
Barnet 003D,44,,27,,29,,42,
Barnet 004A,39,,43,,49,,54,
Barnet 004B,52,,62,,79,,83,
Barnet 004C,35,,42,,36,,39,
Barnet 004D,103,,99,,94,,98,
Barnet 004E,54,,54,,65,,57,
Barnet 004F,18,,23,,20,,25,
Barnet 005A,12,,18,,18,,29,
Barnet 005B,53,,77,,67,,73,
Barnet 005C,14,,13,,12,,21,
Barnet 005D,27,,20,,29,,35,
Barnet 006A,62,,45,,74,,72,
Barnet 006B,70,,65,,89,,129,
Barnet 006C,53,,66,,63,,61,
Barnet 006D,38,,54,,55,,56,
Barnet 006E,10,,16,,28,,20,
Barnet 007A,65,,47,,57,,57,
Barnet 007B,13,,20,,20,,25,
Barnet 007C,16,,15,,5,,8,
Barnet 007D,7,,13,,8,,10,
Barnet 007E,67,,66,,68,,75,
Barnet 007F,32,,30,,35,,36,
Barnet 008A,9,,11,,11,,17,
Barnet 008B,5,,9,,6,,16,
Barnet 008C,25,,15,,21,,26,
Barnet 008D,33,,30,,37,,59,
Barnet 008E,12,,22,,33,,31,
Barnet 009A,17,,13,,16,,13,
Barnet 009B,39,,31,,38,,34,
Barnet 009C,27,,27,,29,,29,
Barnet 009D,19,,17,,18,,20,
Barnet 009E,20,,21,,21,,21,
Barnet 010A,23,,21,,28,,36,
Barnet 010B,41,,42,,36,,34,
Barnet 010C,64,,77,,65,,67,
Barnet 010D,41,,40,,60,,58,
Barnet 010E,67,,63,,75,,76,
Barnet 011A,85,,69,,67,,95,
Barnet 011B,10,,14,,10,,7,
Barnet 011C,59,,43,,57,,70,
Barnet 011D,34,,23,,24,,18,
Barnet 011E,43,,48,,46,,53,
Barnet 012A,31,,39,,40,,25,
Barnet 012B,40,,27,,38,,28,
Barnet 012C,5,,9,,15,,9,
Barnet 012D,22,,28,,26,,50,
Barnet 012E,49,,26,,34,,34,
Barnet 013A,128,,137,,127,,147,
Barnet 013B,83,,55,,67,,82,
Barnet 013C,73,,70,,99,,164,
Barnet 013D,52,,63,,64,,75,
Barnet 013E,52,,46,,33,,47,
Barnet 013F,59,,55,,45,,53,
Barnet 014A,63,,44,,76,,104,
Barnet 014B,56,,68,,82,,113,
Barnet 014C,41,,43,,55,,62,
Barnet 014D,92,,96,,116,,122,
Barnet 014E,57,,39,,41,,38,
Barnet 014F,29,,43,,50,,51,
Barnet 015A,35,,27,,39,,33,
Barnet 015B,33,,31,,33,,38,
Barnet 015C,42,,35,,43,,38,
Barnet 015D,37,,48,,69,,61,
Barnet 015E,30,,43,,53,,54,
Barnet 015F,52,,44,,45,,28,
Barnet 016A,40,,54,,44,,52,
Barnet 016B,38,,18,,21,,37,
Barnet 016C,7,,7,,8,,12,
Barnet 016D,49,,45,,52,,60,
Barnet 017A,53,,39,,43,,62,
Barnet 017B,61,,77,,67,,110,
Barnet 017C,14,,18,,21,,16,
Barnet 017D,108,,87,,130,,134,
Barnet 018A,61,,67,,75,,91,
Barnet 018B,60,,45,,57,,85,
Barnet 018C,94,,74,,112,,159,
Barnet 018D,137,,137,,145,,158,
Barnet 018E,58,,35,,33,,49,
Barnet 019A,45,,46,,60,,74,
Barnet 019B,38,,28,,32,,28,
Barnet 019C,30,,29,,30,,29,
Barnet 019D,24,,21,,22,,35,
Barnet 019E,31,,33,,19,,26,
Barnet 019F,56,,59,,46,,67,
Barnet 020A,14,,11,,5,,7,
Barnet 020B,6,,5,,14,,12,
Barnet 020C,12,,14,,21,,15,
Barnet 020D,20,,19,,20,,16,
Barnet 020E,25,,34,,38,,48,
Barnet 021A,95,,128,,109,,129,
Barnet 021B,149,,119,,131,,149,
Barnet 021C,145,,121,,114,,134,
Barnet 021D,26,,35,,33,,48,
Barnet 021E,116,,124,,105,,112,
Barnet 022A,34,,34,,32,,49,
Barnet 022B,35,,35,,33,,50,
Barnet 022C,85,,81,,98,,86,
Barnet 022D,84,,54,,64,,77,
Barnet 022E,60,,51,,40,,75,
Barnet 022F,89,,84,,76,,91,
Barnet 023A,34,,31,,27,,39,
Barnet 023B,9,,19,,21,,14,
Barnet 023C,20,,19,,21,,25,
Barnet 023D,43,,48,,54,,50,
Barnet 024A,154,,149,,174,,235,
Barnet 024B,100,,97,,110,,131,
Barnet 024C,117,,106,,134,,155,
Barnet 024D,107,,109,,129,,138,
Barnet 024E,100,,107,,132,,115,
Barnet 024F,83,,78,,96,,85,
Barnet 025A,46,,60,,75,,84,
Barnet 025B,15,,16,,20,,21,
Barnet 025C,19,,7,,19,,30,
Barnet 025D,58,,73,,60,,81,
Barnet 025E,66,,67,,70,,93,
Barnet 026A,156,,143,,152,,162,
Barnet 026B,195,,208,,253,,238,
Barnet 026C,153,,158,,185,,207,
Barnet 026D,123,,134,,154,,165,
Barnet 026E,138,,127,,155,,149,
Barnet 027A,52,,59,,66,,67,
Barnet 027B,22,,37,,35,,40,
Barnet 027C,115,,112,,91,,96,
Barnet 027D,42,,34,,30,,37,
Barnet 027E,46,,66,,74,,93,
Barnet 027F,18,,33,,25,,17,
Barnet 028A,32,,26,,39,,41,
Barnet 028B,28,,27,,33,,38,
Barnet 028C,6,,10,,5,,14,
Barnet 028D,33,,29,,28,,21,
Barnet 028E,30,,34,,54,,61,
Barnet 029A,22,,43,,41,,32,
Barnet 029B,20,,22,,26,,22,
Barnet 029C,54,,44,,53,,45,
Barnet 029D,12,,10,,9,,17,
Barnet 029E,12,,6,,7,,5,
Barnet 029F,79,,68,,74,,83,
Barnet 030A,92,,122,,90,,103,
Barnet 030B,139,,178,,170,,214,
Barnet 030D,147,,152,,200,,255,
Barnet 030E,120,,124,,189,,206,
Barnet 030F,50,,50,,68,,83,
Barnet 031A,63,,62,,72,,68,
Barnet 031B,50,,45,,33,,37,
Barnet 031C,33,,31,,42,,59,
Barnet 031D,43,,40,,52,,69,
Barnet 032A,45,,45,,72,,72,
Barnet 032B,37,,34,,33,,53,
Barnet 032C,40,,48,,53,,48,
Barnet 032D,33,,49,,46,,58,
Barnet 032E,82,,103,,105,,121,
Barnet 032F,48,,43,,22,,29,
Barnet 033A,14,,12,,12,,20,
Barnet 033B,6,,..,,10,,10,
Barnet 033C,11,,5,,26,,20,
Barnet 033D,12,,7,,11,,25,
Barnet 033E,14,,11,,10,,25,
Barnet 033F,..,,..,,..,,..,
Barnet 034A,43,,39,,82,,80,
Barnet 034B,63,,73,,85,,135,
Barnet 034C,29,,39,,46,,59,
Barnet 034D,41,,62,,58,,54,
Barnet 035A,10,,11,,8,,12,
Barnet 035B,6,,12,,12,,8,
Barnet 035C,42,,38,,44,,65,
Barnet 035D,6,,6,,13,,9,
Barnet 035E,39,,50,,63,,77,
Barnet 035F,62,,66,,98,,141,
Barnet 036A,86,,65,,96,,135,
Barnet 036B,39,,44,,34,,84,
Barnet 036C,34,,19,,48,,44,
Barnet 036D,95,,76,,59,,68,
Barnet 036E,76,,80,,78,,71,
Barnet 036F,96,,68,,85,,97,
Barnet 037A,28,,68,,70,,80,
Barnet 037B,64,,87,,132,,139,
Barnet 037C,72,,122,,139,,156,
Barnet 037D,58,,71,,104,,167,
Barnet 037E,55,,91,,95,,136,
Barnet 037F,77,,92,,136,,135,
Barnet 038A,26,,23,,18,,28,
Barnet 038B,11,,8,,5,,..,
Barnet 038C,27,,25,,33,,61,
Barnet 038D,21,,14,,23,,27,
Barnet 038E,11,,8,,14,,17,
Barnet 039A,56,,68,,75,,82,
Barnet 039B,111,,102,,106,,119,
Barnet 039C,102,,83,,109,,142,
Barnet 039D,91,,68,,76,,87,
Barnet 040A,57,,66,,76,,86,
Barnet 040B,50,,45,,80,,69,
Barnet 040C,55,,42,,81,,93,
Barnet 040D,61,,63,,59,,86,
Barnet 041A,75,,91,,92,,76,
Barnet 041B,13,,12,,11,,12,
Barnet 041C,33,,32,,38,,46,
Barnet 041D,89,,81,,94,,98,
Bexley 001A,138,,124,,148,,151,
Bexley 001B,76,,100,,122,,144,
Bexley 001C,234,,204,,225,,210,
Bexley 001D,69,,56,,80,,126,
Bexley 002A,90,,84,,104,,114,
Bexley 002B,101,,105,,102,,95,
Bexley 002C,74,,79,,98,,91,
Bexley 002D,103,,91,,114,,143,
Bexley 002E,116,,88,,124,,103,
Bexley 002F,81,,105,,126,,127,
Bexley 003A,74,,80,,93,,102,
Bexley 003B,122,,137,,124,,153,
Bexley 003C,137,,153,,138,,138,
Bexley 003D,80,,76,,124,,154,
Bexley 003E,63,,75,,87,,97,
Bexley 004A,97,,105,,129,,146,
Bexley 004B,136,,147,,145,,166,
Bexley 004C,84,,83,,87,,98,
Bexley 004D,106,,74,,107,,108,
Bexley 005A,47,,39,,51,,42,
Bexley 005B,62,,82,,81,,80,
Bexley 005C,124,,97,,108,,105,
Bexley 005D,32,,25,,25,,32,
Bexley 006A,49,,53,,46,,57,
Bexley 006B,65,,69,,87,,78,
Bexley 006C,25,,18,,28,,32,
Bexley 006D,48,,39,,46,,37,
Bexley 006E,43,,45,,39,,46,
Bexley 007A,44,,34,,34,,40,
Bexley 007B,71,,64,,81,,92,
Bexley 007C,56,,51,,68,,69,
Bexley 007D,24,,17,,26,,24,
Bexley 007E,87,,88,,105,,149,
Bexley 008A,35,,40,,51,,56,
Bexley 008B,68,,99,,112,,117,
Bexley 008C,104,,89,,112,,111,
Bexley 008D,55,,75,,91,,89,
Bexley 008E,108,,112,,118,,126,
Bexley 008F,160,,160,,204,,193,
Bexley 008G,127,,116,,123,,122,
Bexley 009A,32,,27,,19,,25,
Bexley 009B,30,,23,,33,,27,
Bexley 009C,22,,12,,25,,27,
Bexley 009D,23,,20,,29,,25,
Bexley 009E,61,,77,,89,,72,
Bexley 009F,52,,48,,50,,38,
Bexley 009G,29,,30,,31,,26,
Bexley 010A,113,,121,,99,,116,
Bexley 010B,98,,99,,108,,95,
Bexley 010C,65,,66,,73,,96,
Bexley 010D,39,,49,,63,,68,
Bexley 010E,74,,85,,108,,98,
Bexley 011A,17,,13,,15,,26,
Bexley 011B,43,,27,,41,,37,
Bexley 011C,22,,11,,17,,14,
Bexley 011D,41,,38,,45,,48,
Bexley 011E,44,,38,,38,,34,
Bexley 013A,77,,54,,78,,78,
Bexley 013B,27,,32,,49,,51,
Bexley 013C,51,,43,,40,,54,
Bexley 013D,46,,60,,50,,38,
Bexley 013E,23,,22,,15,,14,
Bexley 014A,22,,34,,28,,34,
Bexley 014B,46,,45,,36,,43,
Bexley 014C,46,,34,,33,,44,
Bexley 014D,26,,37,,27,,26,
Bexley 014E,38,,31,,38,,39,
Bexley 015A,65,,40,,38,,50,
Bexley 015B,40,,42,,36,,61,
Bexley 015C,42,,29,,40,,57,
Bexley 015D,35,,24,,19,,33,
Bexley 015E,30,,20,,27,,22,
Bexley 016A,31,,39,,38,,38,
Bexley 016B,65,,81,,121,,117,
Bexley 016C,28,,32,,28,,25,
Bexley 016D,41,,36,,36,,40,
Bexley 016E,65,,70,,72,,66,
Bexley 016F,21,,8,,7,,8,
Bexley 017A,33,,37,,34,,55,
Bexley 017B,40,,40,,50,,44,
Bexley 017C,54,,68,,59,,43,
Bexley 017D,46,,49,,53,,49,
Bexley 017E,74,,86,,76,,87,
Bexley 018A,34,,36,,39,,34,
Bexley 018B,30,,24,,21,,32,
Bexley 018C,37,,36,,35,,27,
Bexley 018D,42,,40,,47,,43,
Bexley 018E,60,,56,,47,,46,
Bexley 018F,43,,25,,22,,35,
Bexley 019A,111,,132,,110,,101,
Bexley 019B,89,,81,,109,,106,
Bexley 019C,81,,56,,59,,44,
Bexley 019D,23,,30,,23,,32,
Bexley 019E,85,,97,,107,,108,
Bexley 019F,71,,70,,57,,78,
Bexley 020A,22,,7,,18,,19,
Bexley 020B,33,,26,,28,,25,
Bexley 020C,34,,31,,39,,37,
Bexley 020D,35,,30,,39,,58,
Bexley 020E,26,,29,,28,,29,
Bexley 020F,28,,11,,11,,22,
Bexley 020G,46,,53,,56,,59,
Bexley 021A,36,,30,,33,,40,
Bexley 021B,52,,44,,35,,44,
Bexley 021C,22,,9,,19,,25,
Bexley 021D,35,,51,,55,,79,
Bexley 021E,46,,46,,64,,57,
Bexley 022A,26,,23,,21,,29,
Bexley 022B,26,,16,,27,,14,
Bexley 022C,41,,37,,28,,33,
Bexley 022D,32,,28,,25,,19,
Bexley 022E,9,,16,,12,,9,
Bexley 023A,41,,32,,34,,37,
Bexley 023B,22,,23,,13,,16,
Bexley 023C,32,,43,,44,,42,
Bexley 023D,5,,7,,5,,10,
Bexley 023E,5,,8,,..,,11,
Bexley 024A,33,,44,,36,,41,
Bexley 024B,26,,29,,24,,38,
Bexley 024C,30,,34,,27,,33,
Bexley 024D,22,,28,,34,,24,
Bexley 024E,23,,30,,21,,25,
Bexley 025A,39,,27,,44,,37,
Bexley 025B,35,,22,,24,,34,
Bexley 025C,42,,27,,21,,21,
Bexley 025D,11,,5,,12,,5,
Bexley 025E,28,,23,,14,,25,
Bexley 026A,23,,25,,25,,19,
Bexley 026B,22,,29,,30,,32,
Bexley 026C,54,,41,,42,,52,
Bexley 026D,27,,45,,47,,61,
Bexley 026E,30,,22,,26,,40,
Bexley 027A,14,,9,,7,,14,
Bexley 027B,29,,35,,36,,40,
Bexley 027C,26,,28,,32,,32,
Bexley 027D,50,,35,,54,,38,
Bexley 027E,13,,22,,15,,13,
Bexley 027F,31,,28,,58,,54,
Bexley 028A,49,,54,,68,,79,
Bexley 028B,43,,58,,45,,45,
Bexley 028C,113,,141,,120,,136,
Bexley 028D,88,,96,,99,,91,
Bexley 029A,38,,45,,48,,34,
Bexley 029B,48,,42,,39,,42,
Bexley 029C,57,,35,,49,,35,
Bexley 029D,83,,69,,90,,70,
Brent 001A,94,,65,,71,,91,
Brent 001B,102,,88,,124,,95,
Brent 001C,68,,64,,71,,95,
Brent 001D,62,,78,,82,,71,
Brent 001E,134,,134,,130,,151,
Brent 001F,113,,98,,65,,95,
Brent 002A,93,,90,,87,,88,
Brent 002B,77,,63,,66,,76,
Brent 002C,112,,107,,121,,123,
Brent 002D,67,,67,,87,,95,
Brent 002E,141,,135,,150,,153,
Brent 003A,115,,104,,76,,105,
Brent 003B,53,,50,,47,,50,
Brent 003E,85,,95,,82,,82,
Brent 003F,96,,128,,115,,127,
Brent 003G,113,,122,,120,,149,
Brent 004A,28,,32,,29,,34,
Brent 004B,32,,45,,39,,72,
Brent 004C,32,,42,,57,,49,
Brent 004D,40,,36,,34,,34,
Brent 004E,62,,60,,45,,56,
Brent 005A,72,,68,,82,,99,
Brent 005B,78,,67,,114,,135,
Brent 005C,78,,74,,65,,69,
Brent 005D,72,,60,,84,,84,
Brent 005E,83,,110,,112,,133,
Brent 006A,55,,42,,49,,40,
Brent 006B,71,,81,,81,,103,
Brent 006C,87,,92,,94,,98,
Brent 006D,37,,66,,65,,74,
Brent 006E,83,,81,,91,,87,
Brent 007A,40,,54,,56,,57,
Brent 007B,116,,81,,89,,93,
Brent 007C,53,,48,,30,,51,
Brent 007D,92,,73,,53,,80,
Brent 007E,168,,160,,192,,208,
Brent 008A,23,,25,,30,,37,
Brent 008B,31,,17,,16,,28,
Brent 008C,40,,63,,59,,74,
Brent 008D,36,,23,,37,,22,
Brent 008E,29,,22,,34,,42,
Brent 009A,41,,35,,44,,33,
Brent 009B,53,,73,,62,,96,
Brent 009C,169,,195,,178,,161,
Brent 009D,120,,137,,138,,142,
Brent 009E,84,,71,,73,,89,
Brent 010B,79,,68,,114,,113,
Brent 010D,89,,87,,122,,129,
Brent 010E,78,,71,,115,,109,
Brent 010F,147,,154,,172,,236,
Brent 011A,77,,98,,88,,82,
Brent 011B,92,,90,,123,,122,
Brent 011C,112,,96,,113,,112,
Brent 011D,103,,111,,110,,120,
Brent 011E,114,,100,,93,,109,
Brent 012A,59,,45,,60,,59,
Brent 012B,39,,43,,55,,71,
Brent 012C,37,,54,,61,,72,
Brent 012D,64,,89,,92,,126,
Brent 013A,70,,50,,65,,93,
Brent 013B,52,,72,,74,,70,
Brent 013C,91,,78,,92,,89,
Brent 013D,71,,88,,88,,89,
Brent 013E,84,,89,,99,,99,
Brent 014A,88,,76,,97,,115,
Brent 014B,95,,81,,105,,112,
Brent 014C,85,,51,,70,,96,
Brent 014D,64,,52,,67,,99,
Brent 014E,109,,137,,141,,167,
Brent 014F,82,,97,,94,,100,
Brent 015A,57,,55,,71,,77,
Brent 015B,60,,54,,60,,95,
Brent 015C,36,,29,,31,,35,
Brent 015D,62,,58,,56,,46,
Brent 015E,31,,33,,41,,66,
Brent 015F,17,,13,,32,,36,
Brent 016A,59,,48,,40,,51,
Brent 016B,74,,88,,97,,105,
Brent 016C,60,,87,,80,,99,
Brent 016D,59,,60,,71,,72,
Brent 017B,60,,56,,81,,99,
Brent 017C,56,,65,,86,,97,
Brent 017D,71,,77,,66,,72,
Brent 017E,73,,56,,93,,119,
Brent 017F,73,,88,,132,,148,
Brent 017G,65,,56,,54,,73,
Brent 018A,49,,35,,47,,52,
Brent 018B,58,,78,,74,,79,
Brent 018C,56,,53,,56,,94,
Brent 018D,26,,35,,52,,47,
Brent 018E,27,,20,,26,,26,
Brent 019A,122,,90,,116,,149,
Brent 019B,73,,99,,105,,99,
Brent 019C,120,,100,,115,,132,
Brent 019D,108,,138,,140,,158,
Brent 019E,105,,94,,117,,142,
Brent 020A,59,,42,,56,,70,
Brent 020B,52,,42,,62,,61,
Brent 020C,85,,64,,62,,76,
Brent 020D,115,,136,,148,,193,
Brent 020E,77,,95,,112,,123,
Brent 021A,104,,117,,145,,138,
Brent 021B,146,,147,,137,,147,
Brent 021C,84,,112,,111,,117,
Brent 021D,51,,66,,67,,93,
Brent 021E,134,,175,,163,,182,
Brent 021F,114,,101,,114,,128,
Brent 022A,59,,65,,70,,77,
Brent 022B,34,,35,,72,,82,
Brent 022C,46,,34,,42,,49,
Brent 022D,43,,47,,78,,79,
Brent 022E,50,,36,,51,,60,
Brent 023A,21,,28,,30,,49,
Brent 023B,34,,36,,46,,47,
Brent 023C,34,,35,,34,,34,
Brent 023D,24,,22,,24,,39,
Brent 023E,68,,61,,62,,87,
Brent 024A,83,,90,,92,,99,
Brent 024B,108,,113,,127,,166,
Brent 024C,70,,77,,99,,118,
Brent 024D,134,,118,,138,,158,
Brent 025A,114,,124,,135,,140,
Brent 025B,94,,95,,119,,120,
Brent 025C,84,,96,,111,,118,
Brent 025D,127,,166,,179,,182,
Brent 025E,75,,76,,113,,127,
Brent 025F,74,,88,,112,,117,
Brent 026A,66,,54,,48,,67,
Brent 026B,152,,151,,155,,142,
Brent 026C,120,,110,,157,,158,
Brent 026D,162,,158,,194,,235,
Brent 026E,144,,135,,146,,162,
Brent 027A,89,,100,,107,,134,
Brent 027D,114,,135,,133,,146,
Brent 027E,154,,178,,209,,226,
Brent 027F,225,,209,,234,,271,
Brent 028A,28,,26,,61,,60,
Brent 028B,29,,36,,43,,43,
Brent 028C,31,,30,,38,,43,
Brent 028D,74,,78,,110,,107,
Brent 028E,24,,25,,31,,33,
Brent 029A,88,,84,,96,,104,
Brent 029B,216,,234,,218,,252,
Brent 029C,62,,70,,96,,102,
Brent 029D,153,,120,,139,,150,
Brent 029E,160,,142,,155,,161,
Brent 030A,36,,45,,42,,42,
Brent 030B,46,,35,,35,,44,
Brent 030C,23,,7,,20,,18,
Brent 030D,40,,37,,42,,39,
Brent 030E,37,,34,,32,,32,
Brent 031A,70,,83,,124,,127,
Brent 031B,133,,135,,139,,166,
Brent 031C,70,,67,,90,,82,
Brent 031E,78,,73,,96,,102,
Brent 031F,58,,51,,51,,68,
Brent 031G,27,,31,,65,,57,
Brent 031H,67,,61,,64,,66,
Brent 032A,49,,52,,35,,38,
Brent 032B,64,,59,,55,,72,
Brent 032C,31,,23,,25,,25,
Brent 032D,25,,28,,26,,29,
Brent 032E,62,,73,,89,,97,
Brent 033A,44,,37,,38,,33,
Brent 033B,63,,66,,58,,73,
Brent 033C,38,,29,,22,,27,
Brent 033D,50,,39,,37,,47,
Brent 033E,31,,50,,43,,35,
Brent 033F,26,,28,,18,,23,
Brent 034A,108,,103,,90,,127,
Brent 034B,79,,79,,82,,70,
Brent 034C,220,,238,,268,,264,
Brent 034D,83,,70,,90,,123,
Bromley 001A,21,,16,,15,,22,
Bromley 001B,58,,53,,63,,63,
Bromley 001C,84,,110,,126,,89,
Bromley 001D,53,,68,,70,,72,
Bromley 001E,105,,94,,85,,92,
Bromley 001F,89,,86,,97,,97,
Bromley 002A,55,,44,,62,,53,
Bromley 002B,17,,16,,19,,21,
Bromley 002C,28,,21,,21,,15,
Bromley 002D,32,,28,,19,,21,
Bromley 002E,44,,36,,46,,40,
Bromley 004A,53,,45,,61,,62,
Bromley 004B,44,,51,,50,,71,
Bromley 004C,28,,33,,39,,46,
Bromley 004D,19,,22,,21,,23,
Bromley 004E,43,,36,,62,,72,
Bromley 005A,75,,79,,95,,102,
Bromley 005B,58,,44,,58,,45,
Bromley 005C,58,,54,,91,,106,
Bromley 005D,53,,44,,54,,54,
Bromley 005E,48,,50,,43,,43,
Bromley 006A,13,,12,,21,,19,
Bromley 006B,30,,33,,32,,30,
Bromley 006C,19,,19,,23,,24,
Bromley 006D,25,,36,,39,,45,
Bromley 006E,85,,68,,74,,69,
Bromley 007A,6,,8,,12,,8,
Bromley 007B,20,,17,,14,,19,
Bromley 007C,12,,12,,16,,10,
Bromley 007D,16,,13,,9,,8,
Bromley 007E,14,,14,,6,,5,
Bromley 007F,21,,8,,23,,13,
Bromley 008A,56,,29,,51,,47,
Bromley 008B,54,,51,,67,,70,
