Stat-Xplore,,,,,,,,
,,,,,,,,
Relative Low Income (I II III IV V VI),,,,,,,,
National - Regional - LA - OAs (GB) by Year,,,,,,,,
Counting: Relative Low Income,,,,,,,,
,,,,,,,,
Filters:,,,,,,,,
Default Summation,Relative Low Income,,,,,,,
,,,,,,,,
Year,2020/21,2020/21 - Annotations,2021/22,2021/22 - Annotations,2022/23,2022/23 - Annotations,2023/24,2023/24 - Annotations
National - Regional - LA - OAs (GB),,,,,,,,
Hammersmith and Fulham 016D,46,,45,,66,,62,
Hammersmith and Fulham 017A,38,,28,,35,,29,
Hammersmith and Fulham 017B,11,,15,,6,,16,
Hammersmith and Fulham 017C,17,,30,,34,,37,
Hammersmith and Fulham 017D,22,,20,,42,,34,
Hammersmith and Fulham 017E,15,,67,,99,,88,
Hammersmith and Fulham 018A,11,,13,,13,,19,
Hammersmith and Fulham 018B,9,,11,,11,,14,
Hammersmith and Fulham 018C,11,,9,,12,,14,
Hammersmith and Fulham 018D,13,,18,,25,,17,
Hammersmith and Fulham 018E,8,,6,,..,,5,
Hammersmith and Fulham 019A,26,,45,,51,,54,
Hammersmith and Fulham 019B,7,,11,,14,,20,
Hammersmith and Fulham 019C,25,,25,,18,,21,
Hammersmith and Fulham 019D,26,,46,,38,,37,
Hammersmith and Fulham 020A,27,,38,,38,,36,
Hammersmith and Fulham 020B,20,,11,,14,,15,
Hammersmith and Fulham 020C,15,,25,,16,,17,
Hammersmith and Fulham 020D,28,,12,,25,,11,
Hammersmith and Fulham 020E,9,,11,,13,,8,
Hammersmith and Fulham 021A,113,,88,,89,,116,
Hammersmith and Fulham 021B,30,,34,,37,,37,
Hammersmith and Fulham 021C,8,,7,,11,,5,
Hammersmith and Fulham 021D,6,,5,,11,,6,
Hammersmith and Fulham 021E,28,,20,,27,,28,
Hammersmith and Fulham 021F,49,,36,,45,,42,
Hammersmith and Fulham 022A,13,,13,,7,,7,
Hammersmith and Fulham 022B,14,,16,,21,,17,
Hammersmith and Fulham 022C,20,,16,,18,,26,
Hammersmith and Fulham 022D,14,,8,,10,,18,
Hammersmith and Fulham 023A,48,,50,,42,,48,
Hammersmith and Fulham 023C,83,,78,,90,,92,
Hammersmith and Fulham 023D,47,,40,,38,,41,
Hammersmith and Fulham 023E,31,,25,,38,,45,
Hammersmith and Fulham 023F,23,,33,,40,,35,
Hammersmith and Fulham 024A,11,,5,,5,,5,
Hammersmith and Fulham 024B,7,,5,,7,,..,
Hammersmith and Fulham 024C,9,,11,,13,,12,
Hammersmith and Fulham 024D,17,,14,,24,,26,
Hammersmith and Fulham 025A,5,,7,,9,,16,
Hammersmith and Fulham 025B,61,,71,,74,,78,
Hammersmith and Fulham 025C,14,,9,,22,,16,
Hammersmith and Fulham 025D,94,,71,,82,,76,
Haringey 001A,72,,77,,68,,90,
Haringey 001B,121,,131,,138,,135,
Haringey 001C,50,,67,,61,,67,
Haringey 001D,40,,55,,47,,62,
Haringey 002A,157,,115,,131,,165,
Haringey 002B,108,,140,,132,,128,
Haringey 002C,138,,171,,170,,158,
Haringey 002D,130,,134,,125,,163,
Haringey 004A,43,,82,,76,,79,
Haringey 004B,103,,105,,116,,100,
Haringey 004C,50,,71,,69,,86,
Haringey 004D,80,,85,,91,,89,
Haringey 005A,104,,110,,125,,144,
Haringey 005B,143,,141,,154,,134,
Haringey 005C,140,,126,,132,,119,
Haringey 005D,146,,132,,132,,113,
Haringey 006A,106,,136,,132,,126,
Haringey 006B,66,,103,,129,,142,
Haringey 006C,72,,87,,78,,82,
Haringey 006D,114,,110,,116,,132,
Haringey 007A,47,,52,,54,,55,
Haringey 007B,54,,71,,75,,97,
Haringey 007C,82,,85,,96,,97,
Haringey 007D,74,,56,,76,,77,
Haringey 008A,126,,162,,168,,170,
Haringey 008B,81,,98,,105,,93,
Haringey 008C,82,,89,,86,,84,
Haringey 008D,59,,69,,59,,88,
Haringey 009A,24,,18,,11,,19,
Haringey 009B,25,,30,,28,,33,
Haringey 009C,25,,22,,19,,14,
Haringey 009D,11,,7,,6,,8,
Haringey 010A,41,,37,,59,,58,
Haringey 010B,65,,78,,67,,56,
Haringey 010C,115,,112,,105,,106,
Haringey 010D,92,,77,,76,,73,
Haringey 011A,84,,71,,78,,78,
Haringey 011B,69,,71,,79,,104,
Haringey 011C,109,,84,,109,,120,
Haringey 011D,119,,117,,128,,133,
Haringey 012A,80,,106,,136,,159,
Haringey 012B,156,,171,,162,,153,
Haringey 012C,118,,107,,112,,123,
Haringey 012D,121,,127,,148,,148,
Haringey 013A,84,,107,,114,,108,
Haringey 013B,66,,62,,71,,72,
Haringey 013C,69,,74,,64,,76,
Haringey 013D,126,,136,,135,,130,
Haringey 014A,6,,9,,6,,20,
Haringey 014B,13,,13,,20,,24,
Haringey 014C,15,,18,,12,,16,
Haringey 014D,20,,9,,21,,20,
Haringey 015A,94,,104,,121,,132,
Haringey 015B,101,,93,,98,,117,
Haringey 015C,81,,100,,105,,108,
Haringey 015D,188,,192,,232,,280,
Haringey 016A,112,,112,,118,,102,
Haringey 016B,110,,106,,127,,114,
Haringey 016C,36,,38,,40,,57,
Haringey 016D,73,,65,,98,,98,
Haringey 017A,16,,17,,27,,25,
Haringey 017B,9,,7,,13,,14,
Haringey 017C,5,,7,,..,,..,
Haringey 017D,136,,112,,121,,120,
Haringey 018A,67,,59,,72,,56,
Haringey 018B,66,,84,,90,,78,
Haringey 018C,76,,61,,84,,100,
Haringey 018D,63,,76,,65,,79,
Haringey 019A,24,,18,,30,,21,
Haringey 019B,76,,53,,58,,62,
Haringey 019C,101,,97,,103,,103,
Haringey 019D,58,,53,,62,,68,
Haringey 020B,45,,40,,53,,42,
Haringey 020C,50,,43,,49,,67,
Haringey 020D,45,,29,,30,,30,
Haringey 020E,52,,74,,74,,80,
Haringey 020F,64,,73,,88,,91,
Haringey 021A,20,,16,,15,,16,
Haringey 021B,22,,19,,19,,22,
Haringey 021C,23,,23,,19,,17,
Haringey 021D,7,,11,,8,,5,
Haringey 022A,15,,20,,23,,27,
Haringey 022B,17,,19,,24,,24,
Haringey 022C,..,,6,,..,,6,
Haringey 022D,10,,15,,19,,19,
Haringey 023A,38,,48,,60,,51,
Haringey 023B,57,,59,,51,,58,
Haringey 023C,129,,118,,99,,116,
Haringey 023D,36,,39,,28,,39,
Haringey 024A,72,,73,,66,,62,
Haringey 024B,92,,95,,98,,100,
Haringey 024C,92,,92,,102,,120,
Haringey 024D,88,,92,,88,,77,
Haringey 025A,148,,156,,166,,184,
Haringey 025B,94,,91,,128,,141,
Haringey 025C,114,,108,,108,,121,
Haringey 025D,94,,91,,128,,129,
Haringey 026A,80,,86,,78,,92,
Haringey 026B,104,,129,,129,,141,
Haringey 026C,73,,66,,69,,91,
Haringey 026D,109,,127,,126,,122,
Haringey 027A,27,,27,,18,,45,
Haringey 027B,28,,43,,48,,54,
Haringey 027C,26,,29,,30,,33,
Haringey 027D,77,,66,,68,,59,
Haringey 028A,37,,44,,57,,51,
Haringey 028B,34,,23,,25,,27,
Haringey 028C,32,,41,,33,,36,
Haringey 028D,41,,51,,29,,38,
Haringey 029A,145,,169,,202,,298,
Haringey 029B,78,,98,,141,,203,
Haringey 029C,146,,148,,237,,340,
Haringey 029D,114,,136,,186,,266,
Haringey 030A,15,,11,,8,,13,
Haringey 030B,7,,6,,9,,11,
Haringey 030C,20,,31,,38,,33,
Haringey 030D,21,,23,,28,,26,
Haringey 031A,35,,37,,35,,46,
Haringey 031B,20,,24,,14,,26,
Haringey 031C,44,,60,,50,,75,
Haringey 031D,51,,51,,53,,73,
Haringey 032A,94,,95,,141,,148,
Haringey 032B,150,,154,,161,,158,
Haringey 032C,78,,102,,164,,133,
Haringey 032D,47,,54,,52,,76,
Haringey 033A,20,,23,,31,,28,
Haringey 033B,23,,20,,13,,18,
Haringey 033C,10,,9,,8,,7,
Haringey 033D,32,,35,,29,,34,
Haringey 034A,18,,27,,22,,28,
Haringey 034B,17,,27,,20,,25,
Haringey 034C,16,,25,,24,,36,
Haringey 034D,24,,23,,33,,39,
Haringey 035A,15,,17,,14,,21,
Haringey 035B,14,,16,,27,,20,
Haringey 035C,5,,8,,11,,11,
Haringey 035D,5,,9,,..,,..,
Haringey 036A,15,,16,,17,,15,
Haringey 036B,39,,50,,40,,37,
